Total NEV Sales,Year,Month,Date,Covid-19,Number of new energy policies,Production,Inventory,Gasoline LDV sales,M1SL,M2SL,Federal fund effective rate,Umemployment rate,PPIBC,PPIBM,PCE ,GDP,Durable goods consumption,Nondurable goods consumption,Nonresidential fixed Investment,Residential fixed Investment,Tesla model S price,ElectricPorts,BatteryCost,Percentage of employees with a bachelor's degree or higher education,Percentage of employees who are middle-aged (25-55),Population,Per capita disposable income,Gasoline price,Electric retail price
156003,2022,10,44865,1,291,161946,108754,1025537,20100.9,21433.4,0.03,0.04,135.987,193.825,2108.7,,,,,,31304.48,139147,159.2981702,0.44,0.73,334201,58175.47,3.935,12.66
143193,2022,11,44895,1,281,143829,107418,992291,19931.1,21367.1,0.04,0.04,136.074,195.581,2052.6,,,,,,30408.68,140307,159.2981702,0.44,0.73,,,3.799,12.3
168120,2022,12,44926,1,262,121459,112210,1100777,19724.2,21273.1,0.04,0.04,136.074,195.614,2035,26734.3,2065.4,3900.8,3643.9,1105.1,,144227,159.2981702,0.44,0.73,,,3.324,12.4
148606,2023,1,44957,1,259,134673,111541,898313,19512.8,21188.2,0.04,0.03,136.225,195.345,2172.1,,,,,,29512.21,144635,139,0.44,0.73,334547,60221.73,3.445,12.68
165267,2023,2,44985,1,240,145498,117800,973489,19321.1,21117.7,0.05,0.04,136.395,195.258,2147.3,,,,,,28779.56,144762,139,0.44,0.74,,,3.501,12.67
207763,2023,3,45016,1,187,165972,130646,1167229,18927.7,20870.6,0.05,0.04,136.771,195.18,2119.6,27164.4,2146.4,3938.5,3742.3,1084,,148687,139,0.44,0.74,,,3.535,12.46
217573,2023,4,45046,1,70,142427,140222,1140271,18606.4,20712.2,0.05,0.03,137.422,196.568,2143.5,,,,,,29025.66,149758,139,0.44,0.74,334934,61087.86,3.711,12.16
224855,2023,5,45077,1,68,155056,153793,1138963,18554.8,20804.8,0.05,0.04,137.822,196.452,2147,,,,,,29928.58,151582,139,0.44,0.74,,,3.666,12.21
225847,2023,6,45107,0,99,150872,164537,1142866,18444.4,20788.5,0.05,0.04,137.888,196.933,2138.7,27453.8,2143.1,3945.1,3833.7,1091.9,,154962,139,0.44,0.74,,,3.684,12.72
228185,2023,7,45138,0,134,109213,174985,1071086,18340.5,20762.6,0.05,0.04,137.812,196.793,2144.5,,,,,,30113.99,157492,139,0.45,0.73,335430,61611.66,3.712,13.06
230913,2023,8,45169,0,159,169708,189437,1087675,18230.1,20735,0.05,0.04,137.856,196.881,2132.2,,,,,,29617.14,160469,139,0.44,0.73,,,3.954,13.27
251418,2023,9,45199,0,171,146132,199396,1089562,18110.3,20681.4,0.05,0.04,137.875,196.9,2148.4,27967.7,2141.7,4006.2,3848.8,1125.3,,167840,139,0.44,0.73,,,3.958,13.14
216345,2023,10,45230,0,169,153245,208754,977629,18028.9,20662.5,0.05,0.04,138.663,196.499,2127.6,,,,,,29268.29,169805,139,0.44,0.73,335923,62256.83,3.742,12.67
235402,2023,11,45260,0,184,148068,220135,1000181,17967.6,20675.7,0.05,0.04,138.597,196.421,2133.9,,,,,,28903.49,173580,139,0.44,0.73,,,3.443,12.44
279866,2023,12,45291,0,179,120219,226074,1178987,17971.2,20725.4,0.05,0.04,138.272,196.32,2156.5,28297,2139.3,4035.4,3901.5,1144.7,,176032,139,0.44,0.73,,,3.257,12.34
